City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,75.47,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Ciudad Bolivar,VE,77.58,overcast clouds,8.1222,-63.5497,Hotel Edi
9,Mogadishu,SO,78.71,broken clouds,2.0371,45.3438,Hotel Juba
12,Rikitea,PF,75.65,scattered clouds,-23.1203,-134.9692,People ThankYou
19,Victoria,HK,81.97,broken clouds,22.2855,114.1577,Mini Hotel Central
23,Pemangkat,ID,78.26,overcast clouds,1.1667,108.9667,Ramah Kost KITA
26,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
27,Labuhan,ID,85.26,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
32,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
36,Airai,TL,78.94,overcast clouds,-8.9266,125.4092,Juvinal Martin
39,Cockburn Town,TC,82.51,clear sky,21.4612,-71.1419,Osprey Beach Hotel
40,Muttupet,IN,75.18,light rain,10.4,79.4833,Hotel Star Residency
42,Butaritari,KI,82.87,clear sky,3.0707,172.7902,Isles Sunset Lodge
43,Filingue,NE,86.47,few clouds,14.3521,3.3168,
44,Cabo San Lucas,MX,80.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
57,Bathsheba,BB,79.99,scattered clouds,13.2167,-59.5167,Atlantis Hotel
59,Sao Felix Do Xingu,BR,77.5,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
61,Ngama,TD,82.85,overcast clouds,11.7833,17.1667,
65,Faanui,PF,76.93,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Vaini,TO,75.47,overcast clouds,-21.2,-175.2,Keleti Beach Resort
72,Isangel,VU,79.65,few clouds,-19.55,169.2667,Tanna Lodge
80,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
85,Adolfo Ruiz Cortines,MX,81.03,clear sky,25.75,-108.75,Empaque San Carlos
92,Alappuzha,IN,77.58,overcast clouds,9.49,76.3264,Panoramic Sea Resort
98,Nishihara,JP,76.68,few clouds,26.1842,127.7558,Minshuku Agaihama
100,Sao Filipe,CV,77.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
101,Ransang,PH,84.81,scattered clouds,8.9603,117.5828,Black and Crystal Sand Campsite
105,Mana,GF,78.06,overcast clouds,5.6592,-53.7767,LE SAMANA
108,Riyadh,SA,75.0,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
110,Tessalit,ML,77.63,few clouds,20.1986,1.0114,
112,Bitkine,TD,85.14,overcast clouds,11.9801,18.2138,
113,Rosarito,MX,79.41,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
114,Adrar,MR,75.97,overcast clouds,20.5022,-10.0711,
115,Bengkulu,ID,83.28,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
118,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
120,Palmas,BR,82.27,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
122,Diffa,NE,80.19,broken clouds,13.3154,12.6113,ProDAF/Diffa
123,Sokoni,TZ,78.66,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
125,Yeppoon,AU,87.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
128,Kavieng,PG,86.14,light rain,-2.5744,150.7967,Nusa Island Retreat
132,Atuona,PF,78.39,clear sky,-9.8,-139.0333,Villa Enata
135,Kalmunai,LK,79.83,broken clouds,7.4167,81.8167,VS Villa
138,Vanimo,PG,85.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
139,Doha,QA,82.29,clear sky,25.2867,51.5333,Movenpick Hotel Doha
142,Razole,IN,80.89,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
164,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
166,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
168,Tanete,ID,89.42,broken clouds,-3.9443,119.7848,Wisma Tri Multi
172,Kahului,US,80.96,broken clouds,20.8947,-156.47,Maui Seaside Hotel
177,Samarai,PG,84.74,few clouds,-10.6167,150.6667,Nuli Sapi
