City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,75.47,94,70,1.01,light rain
1,Mataura,NZ,-46.1927,168.8643,69.76,47,49,3.09,scattered clouds
2,La Ronge,CA,55.1001,-105.2842,38.77,68,0,7.43,clear sky
3,Jamestown,US,42.097,-79.2353,56.3,80,81,8.99,broken clouds
4,Ciudad Bolivar,VE,8.1222,-63.5497,77.58,85,100,4.97,overcast clouds
5,Albany,US,42.6001,-73.9662,44.38,91,18,1.14,few clouds
6,Montepuez,MZ,-13.1256,38.9997,66.22,76,6,8.88,clear sky
7,Nikolskoye,RU,59.7035,30.7861,52.88,97,100,9.93,overcast clouds
8,Tasiilaq,GL,65.6145,-37.6368,28.56,69,8,8.21,clear sky
9,Mogadishu,SO,2.0371,45.3438,78.71,77,74,8.52,broken clouds
10,Elmira,US,42.0898,-76.8077,54.07,92,100,4.56,overcast clouds
11,Bluff,NZ,-46.6,168.3333,59.56,75,23,5.01,few clouds
12,Rikitea,PF,-23.1203,-134.9692,75.65,79,43,16.91,scattered clouds
13,Bredasdorp,ZA,-34.5322,20.0403,54.28,90,76,4.14,broken clouds
14,Busselton,AU,-33.65,115.3333,59.04,53,39,7.78,scattered clouds
15,Severo-Kurilsk,RU,50.6789,156.125,43.23,95,100,7.49,light rain
16,Ushuaia,AR,-54.8,-68.3,45.1,90,100,5.91,overcast clouds
17,Barrow,US,71.2906,-156.7887,21.22,86,90,11.5,mist
18,Olafsvik,IS,64.8945,-23.7142,41.43,92,100,34.25,heavy intensity rain
19,Victoria,HK,22.2855,114.1577,81.97,76,52,5.01,broken clouds
20,Hay River,CA,60.8156,-115.7999,36.14,82,100,6.44,overcast clouds
21,Mar Del Plata,AR,-38.0023,-57.5575,68.09,91,0,1.99,clear sky
22,Zhigansk,RU,66.7697,123.3711,12.54,90,100,9.24,overcast clouds
23,Pemangkat,ID,1.1667,108.9667,78.26,85,100,7.2,overcast clouds
24,Saldanha,ZA,-33.0117,17.9442,59.85,91,81,15.9,broken clouds
25,Yumen,CN,40.2833,97.2,46.15,29,8,4.25,clear sky
26,Georgetown,MY,5.4112,100.3354,84.13,81,20,6.91,few clouds
27,Labuhan,ID,-6.8844,112.2051,85.26,67,100,2.84,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,67.8,91,100,10.2,light rain
29,Shimanovsk,RU,52.0,127.7,42.49,59,12,7.11,few clouds
30,Jalu,LY,29.0331,21.5482,70.5,46,45,7.07,scattered clouds
31,Brigantine,US,39.4101,-74.3646,58.01,85,100,14.67,light rain
32,Hambantota,LK,6.1241,81.1185,75.54,100,75,2.3,broken clouds
33,Aljezur,PT,37.3191,-8.8033,62.6,86,100,7.43,overcast clouds
34,Hermanus,ZA,-34.4187,19.2345,59.9,86,0,7.94,clear sky
35,Vila Velha,BR,-20.3297,-40.2925,73.87,85,11,2.06,few clouds
36,Airai,TL,-8.9266,125.4092,78.94,42,87,1.99,overcast clouds
37,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,89,3.0,overcast clouds
38,Saskylakh,RU,71.9167,114.0833,-7.92,99,100,7.11,overcast clouds
