City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2021-10-27 18:46:49,-0.7393,-90.3518,75.16,88,90,5.99
1,Barra Patuca,HN,2021-10-27 18:46:50,15.8,-84.2833,85.8,69,99,11.32
2,Busselton,AU,2021-10-27 18:46:50,-33.65,115.3333,47.05,80,47,8.79
3,Montepuez,MZ,2021-10-27 18:46:51,-13.1256,38.9997,77.11,64,52,7.02
4,New Norfolk,AU,2021-10-27 18:46:51,-42.7826,147.0587,56.7,68,2,3.65
5,Mar Del Plata,AR,2021-10-27 18:42:03,-38.0023,-57.5575,75.22,89,0,8.01
6,Kiunga,PG,2021-10-27 18:46:52,-6.1219,141.2906,73.81,100,100,1.45
7,Chuy,UY,2021-10-27 18:46:52,-33.6971,-53.4616,79.97,51,0,7.54
8,Guerrero Negro,MX,2021-10-27 18:46:53,27.9769,-114.0611,78.15,30,0,3.18
9,Seoul,KR,2021-10-27 18:45:31,37.5683,126.9778,45.84,81,0,1.14
10,Mataura,NZ,2021-10-27 18:46:53,-46.1927,168.8643,51.19,88,14,2.91
11,Provideniya,RU,2021-10-27 18:46:54,64.3833,-173.3,15.35,77,100,8.39
12,Arraial Do Cabo,BR,2021-10-27 18:46:55,-22.9661,-42.0278,78.76,83,75,13.8
13,Vaini,TO,2021-10-27 18:46:55,-21.2,-175.2,75.36,83,40,9.22
14,Punta Arenas,CL,2021-10-27 18:46:56,-53.15,-70.9167,57.31,47,0,33.38
15,Ahipara,NZ,2021-10-27 18:46:56,-35.1667,173.1667,59.94,83,100,4.18
16,Port Augusta,AU,2021-10-27 18:46:56,-32.5,137.7667,61.7,72,0,7.54
17,Chokurdakh,RU,2021-10-27 18:46:57,70.6333,147.9167,4.51,90,99,5.75
18,Beringovskiy,RU,2021-10-27 18:46:57,63.05,179.3167,7.09,87,96,16.96
19,Gushikawa,JP,2021-10-27 18:46:58,26.3544,127.8686,72.63,79,1,4.61
20,Saint-Philippe,RE,2021-10-27 18:46:58,-21.3585,55.7679,71.19,78,40,11.23
21,Hasanabad,IR,2021-10-27 18:46:59,36.5465,61.0543,52.47,65,100,10.07
22,Rikitea,PF,2021-10-27 18:46:59,-23.1203,-134.9692,73.62,78,22,6.64
23,Abay,KZ,2021-10-27 18:47:00,49.6311,72.8539,16.18,47,5,4.9
24,Nikolskoye,RU,2021-10-27 18:47:00,59.7035,30.7861,46.87,93,100,7.78
25,Hermanus,ZA,2021-10-27 18:47:01,-34.4187,19.2345,69.8,87,99,6.91
26,Paamiut,GL,2021-10-27 18:47:01,61.994,-49.6678,32.09,72,59,14.52
27,Tanout,NE,2021-10-27 18:47:03,14.9709,8.8879,89.4,11,5,9.64
28,Barrow,US,2021-10-27 18:45:02,71.2906,-156.7887,19.42,79,90,9.22
29,Portland,US,2021-10-27 18:44:28,45.5234,-122.6762,58.62,86,75,1.01
30,Zhiryatino,RU,2021-10-27 18:47:04,53.2228,33.7306,43.12,93,43,8.03
31,Bambous Virieux,MU,2021-10-27 18:47:04,-20.3428,57.7575,71.85,78,20,5.75
32,Atar,MR,2021-10-27 18:47:05,20.5169,-13.0499,84.25,37,100,11.5
33,Yendi,GH,2021-10-27 18:47:05,9.4427,-0.0099,84.67,53,82,4.29
34,Bengkulu,ID,2021-10-27 18:47:05,-3.8004,102.2655,76.3,86,100,3.15
35,Luderitz,NA,2021-10-27 18:47:06,-26.6481,15.1594,61.48,80,100,2.91
36,Portales,US,2021-10-27 18:47:06,34.1862,-103.3344,64.33,29,5,7.0
37,Rafai,CF,2021-10-27 18:47:07,4.95,23.9167,73.69,81,19,1.79
38,Hobart,AU,2021-10-27 18:42:27,-42.8794,147.3294,57.06,67,0,17.27
